security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Chebyshev_Series,CKKS_Mult,CKKS_Mult_Scalar,CKKS_Square,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Chebyshev_Series_count,CKKS_Mult_count,CKKS_Mult_Scalar_count,CKKS_Square_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_Scalar_contribution,CKKS_Mult_contribution,CKKS_Square_contribution,CKKS_Chebyshev_Series_contribution,estimated_Energy
none,13,16,32,0.0408890577507598,18.5475,1.0573214285714283,0.0309658792650918,0.9791379310344828,0.0408564988730277,0.0176288343558282,3,3,3,3,3,3,3,2.8622340425531863,3.4728024042073544,0.5464938650306742,2.0747139107611505,122.64928571428568,7.833103448275862,18.5475,157.98613338511393
none,13,18,1,0.009766439909297,27.205,1.216666666666667,0.0217827997489014,1.1959259259259258,0.0610999999999999,0.0065544003514423,3,3,3,3,3,3,3,0.6836507936507901,5.193499999999991,0.2031864108947113,1.4594475831763938,141.13333333333338,9.567407407407407,27.205,185.44552552846267
none,13,18,2,0.0322182786157941,21.56,1.0002702702702702,0.0284787644787644,0.949736842105263,0.0493954659949622,0.0130951538733639,3,3,3,3,3,3,3,2.255279503105587,4.198614609571787,0.4059497700742809,1.9080772200772147,116.03135135135133,7.597894736842104,21.56,153.9571671910223
none,13,18,4,0.0314570063694267,18.840000000000003,0.8588235294117648,0.0267748215444516,0.7801923076923077,0.0373449781659388,0.0132347074468085,3,3,3,3,3,3,3,2.201990445859869,3.1743231441047977,0.4102759308510635,1.793913043478257,99.62352941176471,6.241538461538462,18.840000000000003,132.2855704375972
none,13,18,8,0.0372248803827751,18.306666666666665,0.8446031746031748,0.0271137724550898,0.8441269841269843,0.037356862745098,0.0157799671592775,3,3,3,3,3,3,3,2.605741626794257,3.17533333333333,0.4891789819376025,1.8166227544910167,97.97396825396828,6.753015873015874,18.306666666666665,131.12052749020702
none,13,18,16,0.0439853896103896,20.336666666666662,1.0445614035087718,0.0339068100358423,0.9933333333333332,0.0448883572567783,0.018529908752957,3,3,3,3,3,3,3,3.078977272727272,3.8155103668261554,0.574427171341667,2.2717562724014337,121.16912280701753,7.946666666666665,20.336666666666662,159.1931272236474
none,13,18,32,0.0479047619047619,21.62333333333333,1.163921568627451,0.0353936039360393,1.107592592592593,0.0473378839590443,0.0208519051042415,3,3,3,3,3,3,3,3.353333333333333,4.023720136518765,0.6464090582314865,2.371371463714633,135.01490196078433,8.860740740740743,21.62333333333333,175.8938100266566
none,13,20,1,0.0103769401330376,31.7,1.2999999999999996,0.0250490196078431,1.2867999999999995,0.0698158379373849,0.0069568041571938,3,3,3,3,3,3,3,0.726385809312632,5.934346224677716,0.2156609288730078,1.6782843137254877,150.79999999999995,10.294399999999996,31.7,201.3490772765888
none,13,20,2,0.0338454011741683,25.485000000000003,1.0993939393939396,0.0299234042553191,1.0670588235294116,0.0554621848739495,0.0136328576937909,3,3,3,3,3,3,3,2.369178082191781,4.714285714285707,0.4226185885075179,2.00486808510638,127.529696969697,8.536470588235293,25.485000000000003,171.0621180280237
none,13,20,4,0.029591304347826,20.4,0.947608695652174,0.0270608575380359,0.8283333333333333,0.0423737373737373,0.0146209386281588,3,3,3,3,3,3,3,2.07139130434782,3.6017676767676705,0.4532490974729228,1.8130774550484055,109.92260869565219,6.626666666666666,20.4,144.88876089595567
none,13,20,8,0.0367784642541924,21.04,0.9514285714285716,0.0319624352331606,0.8924137931034481,0.0420190641247833,0.0164776011560693,3,3,3,3,3,3,3,2.574492497793468,3.5716204506065803,0.5108056358381483,2.1414831606217604,110.3657142857143,7.139310344827585,21.04,147.34342637540183
none,13,20,16,0.0484482758620689,24.446666666666665,1.13,0.0363391136801541,1.0788888888888888,0.0484704830053667,0.0214631463146314,3,3,3,3,3,3,3,3.3913793103448233,4.11999105545617,0.6653575357535734,2.4347206165703246,131.07999999999998,8.63111111111111,24.446666666666665,174.76922629590263
none,13,20,32,0.0503027436140018,25.17333333333333,1.272553191489362,0.0376047904191616,1.2684782608695653,0.0515420560747663,0.0226599999999999,3,3,3,3,3,3,3,3.5211920529801257,4.381074766355136,0.7024599999999969,2.5195209580838274,147.61617021276598,10.147826086956522,25.17333333333333,194.06157741047488
none,14,10,1,0.0117765709852598,26.445,1.463181818181818,0.0255747126436781,1.398695652173913,0.0660600375234521,0.00720823798627,3,3,3,3,3,3,3,0.824359968968186,5.6151031894934285,0.22345537757437,1.7135057471264328,169.72909090909087,11.189565217391303,26.445,215.74008040964458
none,14,10,2,0.0120244420828905,21.39,1.1856666666666666,0.0320315091210613,1.1222580645161286,0.0586596385542168,0.0137638786084381,3,3,3,3,3,3,3,0.841710945802335,4.986069277108427,0.42668023686158113,2.146111111111107,137.53733333333332,8.97806451612903,21.39,176.30596942034578
none,14,10,4,0.0341020966271649,18.04,0.9827906976744184,0.0280823863636363,0.9434090909090912,0.0457000993048659,0.013699070764832,3,3,3,3,3,3,3,2.3871467639015433,3.8845084409136015,0.424671193709792,1.881519886363632,114.00372093023253,7.54727272727273,18.04,148.16883994239382
none,14,10,8,0.04025,20.43333333333333,1.168478260869565,0.0314839572192513,1.118125,0.0432812499999999,0.0167918454935622,3,3,3,3,3,3,3,2.8175,3.678906249999992,0.5205472103004283,2.109425133689837,135.54347826086953,8.945,20.43333333333333,174.04819018819313
