security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Energy
none,16,16,32,0.29817832857048543,7.859166666666668,0.3438685239491693,6.988009259259261,3,3,3,3,53.07574248554641,1348.6857870370375,125.74666666666668,11.003792766373417,1538.511988955624
none,16,18,1,0.09689519540629526,12.187777777777782,0.5318055555555539,12.974444444444444,3,3,3,3,17.247344782320557,2504.067777777778,195.00444444444452,17.017777777777724,2733.33734478232
none,16,18,2,0.19080913012740033,12.093333333333334,0.5259209209209216,9.420000000000003,3,3,3,3,33.96402516267726,1818.0600000000006,193.49333333333334,16.82946946946949,2062.3468279654808
none,16,18,4,0.22731151978345673,7.965555555555554,0.3663030303030306,6.258888888888888,3,3,3,3,40.4614505214553,1207.9655555555553,127.44888888888886,11.721696969696978,1387.5975919355965
none,16,18,8,0.27068117088607613,6.984285714285711,0.32395238095238116,6.365416666666668,3,3,3,3,48.18124841772155,1228.525416666667,111.74857142857138,10.366476190476197,1398.821712703436
none,16,18,16,0.36016984893796483,8.38809523809524,0.30916608063759926,7.310416666666665,3,3,3,3,64.11023311095774,1410.9104166666664,134.20952380952383,9.893314580403176,1619.1234881675512
none,16,18,32,0.2862107469953214,8.311428571428571,0.35046524539196094,6.720833333333332,3,3,3,3,50.94551296516721,1297.1208333333332,132.98285714285714,11.21488785254275,1492.2640912939
none,16,20,1,0.16007187938288914,10.943333333333333,0.3638095238095242,8.442222222222219,3,3,3,3,28.492794530154267,1629.3488888888883,175.09333333333333,11.641904761904774,1844.5769215142805
none,16,20,2,0.2718995016719362,8.751666666666667,0.25627450980392175,9.955,3,3,3,3,48.39811129760464,1921.315,140.02666666666667,8.200784313725496,2117.940562277997
none,16,20,4,0.2424478761978762,6.985333333333334,0.48670340136054396,18.992777777777782,3,3,3,3,43.155721963221964,3665.606111111112,111.76533333333334,15.574508843537407,3836.1016752512046
